name,num
도라지,98
차,72
비타민,55
배,53
생강,45
즙,31
물,26
과일,21
무,16
청,16
마늘,14
레몬,11
수세미,11
약재,11
천연,11
당근,10
사포닌,10
콩나물,10
하루,10
꿀,9
대파,9
더덕,9
삼,9
약용식물,9
오메가,9
한방,9
껍질,8
대추,8
약초,8
홍삼,8
귤,7
도라지배즙,7
모과,7
양파,7
오미자,7
미네랄,6
민들레,6
설탕,6
연근,6
영양소,6
자연,6
채소,6
토마토,6
항산화,6
계란,5
식혜,5
인삼,5
칼슘,5
콩,5
폴리스,5
고구마,4
고등어,4
단백질,4
배즙,4
버섯,4
블루베리,4
올리브,4
호두,4
호박,4
